AuditID,AuditDate,PlantLocation,Department,Auditor,AuditType,FindingType,Severity,Status,DaysToClose
AUD-000001,2023-08-17,Monterrey Plant,Manufacturing,Allison Hill,Internal Audit,Equipment Issue,Major,Closed,29.0
AUD-000002,2023-06-28,Houston Plant,HR,Noah Rhodes,Safety Audit,Supplier Issue,Minor,Closed,9.0
AUD-000003,2023-02-24,Suzhou Plant,Engineering,Angie Henderson,Process Audit,Process Deviation,Major,In Progress,
AUD-000004,2024-07-23,Suzhou Plant,Manufacturing,Daniel Wagner,Supplier Audit,Calibration,Major,Closed,30.0
AUD-000005,2023-11-15,Shanghai Plant,Engineering,Cristian Santos,ISO 9001 Audit,Documentation,Critical,Closed,68.0
AUD-000006,2025-01-05,Juarez Plant,Warehouse,Connie Lawrence,Safety Audit,Documentation,Major,In Progress,
AUD-000007,2025-02-14,Bangalore Plant,Quality,Abigail Shaffer,Safety Audit,Training,Minor,In Progress,
AUD-000008,2023-05-23,Shanghai Plant,Manufacturing,Gina Moore,Process Audit,Documentation,Major,In Progress,
AUD-000009,2025-02-17,Monterrey Plant,Maintenance,Gabrielle Davis,Supplier Audit,Calibration,Minor,In Progress,
AUD-000010,2024-03-05,Shanghai Plant,Maintenance,Ryan Munoz,Safety Audit,Equipment Issue,Major,Closed,22.0
AUD-000011,2023-12-17,Houston Plant,Engineering,Monica Herrera,Supplier Audit,Documentation,Minor,Closed,9.0
AUD-000012,2024-04-14,Shanghai Plant,Manufacturing,Jamie Arnold,Process Audit,Supplier Issue,Major,Closed,38.0
AUD-000013,2024-10-06,Juarez Plant,Engineering,Lisa Hensley,Process Audit,Calibration,Major,Closed,31.0
AUD-000014,2023-10-13,Suzhou Plant,Engineering,Michele Williams,Safety Audit,Process Deviation,Major,Closed,20.0
AUD-000015,2025-01-11,Juarez Plant,Engineering,Dylan Miller,Internal Audit,Documentation,Critical,Closed,53.0
AUD-000016,2023-08-13,Suzhou Plant,Supply Chain,Brian Ramirez,Safety Audit,Documentation,Major,In Progress,
AUD-000017,2025-02-27,Frankfurt Plant,HR,Holly Wood,Safety Audit,Documentation,Minor,Closed,8.0
AUD-000018,2023-08-23,Frankfurt Plant,Maintenance,Derek Zuniga,ISO 9001 Audit,Training,Major,Closed,20.0
AUD-000019,2025-07-18,Frankfurt Plant,Manufacturing,Lisa Jackson,Safety Audit,Training,Critical,In Progress,
AUD-000020,2025-11-05,Houston Plant,Quality,Carla Gray,Process Audit,Calibration,Major,Closed,27.0
AUD-000021,2023-11-27,Shanghai Plant,Manufacturing,Margaret Hawkins DDS,Supplier Audit,Calibration,Minor,Closed,3.0
AUD-000022,2024-05-05,Shanghai Plant,Manufacturing,Patty Perez,Internal Audit,Equipment Issue,Minor,Closed,3.0
AUD-000023,2025-09-22,Monterrey Plant,Quality,Ethan Adams,Process Audit,Equipment Issue,Critical,Closed,36.0
AUD-000024,2025-08-31,Suzhou Plant,Supply Chain,Tommy Walter,Process Audit,Supplier Issue,Minor,In Progress,
AUD-000025,2024-02-16,Bangalore Plant,Maintenance,Matthew Foster,ISO 9001 Audit,Supplier Issue,Minor,Closed,6.0
AUD-000026,2025-07-13,Pune Plant,Quality,Judy Baker,Safety Audit,Supplier Issue,Minor,Closed,11.0
AUD-000027,2024-04-16,Pune Plant,Engineering,Justin Baker,Process Audit,Documentation,Minor,In Progress,
AUD-000028,2023-03-06,Juarez Plant,Warehouse,Stephanie Ross,Process Audit,Supplier Issue,Minor,Closed,6.0
AUD-000029,2023-09-28,Suzhou Plant,EHS,Zachary Hicks,Process Audit,Documentation,Minor,Closed,5.0
AUD-000030,2023-07-18,Pune Plant,HR,Anthony Rodriguez,Internal Audit,Documentation,Minor,Closed,15.0
AUD-000031,2025-04-04,Houston Plant,Warehouse,Rebecca Henderson,Process Audit,Supplier Issue,Major,Closed,23.0
AUD-000032,2025-07-07,Houston Plant,Supply Chain,James Ferrell,Internal Audit,Process Deviation,Minor,Closed,10.0
AUD-000033,2023-07-20,Pune Plant,Manufacturing,Tricia Valencia,Internal Audit,Training,Major,Closed,12.0
AUD-000034,2023-12-07,Suzhou Plant,HR,Nathan Maldonado,Internal Audit,Training,Minor,Closed,8.0
AUD-000035,2025-02-15,Juarez Plant,Manufacturing,Debra Davidson,Supplier Audit,Process Deviation,Critical,Closed,46.0
AUD-000036,2025-09-23,Pune Plant,Supply Chain,Jeffrey Chavez,Safety Audit,Equipment Issue,Minor,Closed,5.0
AUD-000037,2023-05-05,Monterrey Plant,Warehouse,Sherri Baker,Internal Audit,Supplier Issue,Minor,Closed,11.0
AUD-000038,2023-06-14,Houston Plant,Supply Chain,Cassandra Gaines,ISO 9001 Audit,Documentation,Minor,Closed,7.0
AUD-000039,2024-05-19,Bangalore Plant,Manufacturing,Elizabeth Fowler,Supplier Audit,Training,Major,Closed,22.0
AUD-000040,2024-10-05,Frankfurt Plant,Engineering,Brittany Farmer,ISO 9001 Audit,Calibration,Minor,Closed,7.0
AUD-000041,2023-05-29,Shanghai Plant,Manufacturing,Paula Moreno,Internal Audit,Supplier Issue,Minor,Open,
AUD-000042,2024-03-12,Shanghai Plant,Maintenance,Fred Smith,Process Audit,Calibration,Minor,Closed,16.0
AUD-000043,2024-08-06,Frankfurt Plant,Supply Chain,Sherry Decker,Safety Audit,Equipment Issue,Minor,Closed,9.0
AUD-000044,2025-12-19,Shanghai Plant,Manufacturing,Anthony Humphrey,Process Audit,Calibration,Major,Closed,15.0
AUD-000045,2023-08-25,Frankfurt Plant,Quality,Angelica Tucker,Safety Audit,Training,Major,Closed,32.0
AUD-000046,2024-12-03,Juarez Plant,Engineering,Philip Cannon,Supplier Audit,Documentation,Major,In Progress,
AUD-000047,2023-07-09,Bangalore Plant,HR,John Pierce,Process Audit,Equipment Issue,Major,Closed,14.0
AUD-000048,2024-06-20,Suzhou Plant,Supply Chain,Shane Henderson,Safety Audit,Documentation,Major,Closed,26.0
AUD-000049,2023-08-18,Monterrey Plant,Quality,Joshua Blair,Safety Audit,Documentation,Critical,Closed,14.0
AUD-000050,2025-01-26,Bangalore Plant,Supply Chain,Eric Carney,Internal Audit,Calibration,Minor,Closed,5.0
AUD-000051,2024-03-06,Suzhou Plant,Engineering,Jessica Holmes,Safety Audit,Equipment Issue,Major,Closed,26.0
AUD-000052,2023-11-13,Monterrey Plant,Engineering,Danny Morgan,ISO 9001 Audit,Documentation,Major,Open,
AUD-000053,2024-01-03,Houston Plant,Warehouse,Crystal Robinson,Supplier Audit,Training,Major,Closed,31.0
AUD-000054,2023-08-10,Houston Plant,HR,Mark Perez,Process Audit,Process Deviation,Major,In Progress,
AUD-000055,2024-12-17,Houston Plant,Maintenance,Shannon Jones,Internal Audit,Equipment Issue,Major,In Progress,
AUD-000056,2024-01-31,Frankfurt Plant,HR,Michael Lewis,Supplier Audit,Equipment Issue,Minor,In Progress,
AUD-000057,2025-11-09,Bangalore Plant,HR,Timothy Duncan,Internal Audit,Documentation,Major,In Progress,
AUD-000058,2024-06-18,Pune Plant,Supply Chain,Richard Aguirre,Internal Audit,Supplier Issue,Minor,Open,
AUD-000059,2025-06-08,Shanghai Plant,Warehouse,Brent Jordan,ISO 9001 Audit,Supplier Issue,Major,Closed,26.0
AUD-000060,2024-01-25,Houston Plant,Maintenance,John Daniel,Supplier Audit,Process Deviation,Minor,Closed,9.0
AUD-000061,2023-05-24,Shanghai Plant,Warehouse,Victoria Garcia,Supplier Audit,Supplier Issue,Major,Closed,22.0
AUD-000062,2024-09-25,Monterrey Plant,HR,Gerald Hensley,Process Audit,Process Deviation,Minor,Closed,4.0
AUD-000063,2025-02-15,Pune Plant,Supply Chain,Connor West,Supplier Audit,Calibration,Major,Closed,18.0
AUD-000064,2024-03-06,Bangalore Plant,HR,Donald Wright,ISO 9001 Audit,Process Deviation,Major,Closed,20.0
AUD-000065,2025-06-24,Monterrey Plant,Engineering,Jessica Callahan,Internal Audit,Calibration,Minor,In Progress,
AUD-000066,2025-11-21,Houston Plant,Warehouse,Amber Kidd,Supplier Audit,Training,Minor,Open,
AUD-000067,2024-02-12,Juarez Plant,Supply Chain,Tracy House,Safety Audit,Documentation,Minor,Closed,13.0
AUD-000068,2025-07-21,Suzhou Plant,HR,Carol Tucker,ISO 9001 Audit,Process Deviation,Major,Closed,28.0
AUD-000069,2024-05-14,Shanghai Plant,Supply Chain,James Brown,ISO 9001 Audit,Training,Major,Closed,9.0
AUD-000070,2023-12-27,Shanghai Plant,EHS,William Baker,ISO 9001 Audit,Training,Minor,Closed,11.0
AUD-000071,2025-08-09,Suzhou Plant,Warehouse,Jordan Henderson,Safety Audit,Process Deviation,Critical,In Progress,
AUD-000072,2023-11-22,Frankfurt Plant,EHS,Whitney Peters,Safety Audit,Process Deviation,Minor,In Progress,
AUD-000073,2024-05-04,Houston Plant,Maintenance,Brittney Phillips,Supplier Audit,Calibration,Minor,In Progress,
